StAX processor created successfully
Starting file processing
Editors:
Приисковая улица - 2
Кемеровская область - 2
улица Короленко - 2
Смирновка - 2
улица Караваева - 2
Волово - 2
6-й переулок Танкистов - 2
Волжская улица - 2
Власиха - 2
Буфет - 2
Гвардейский - 2
Коуракская улица - 2
Старая Гербаевская дорога - 2
Новосибирская областная юношеская библиотека - 2
Лазурный - 2
Республиканский - 2
Малая улица Кропоткина - 2
Юльяновка - 2
Очкино - 2
Танк - 2
Березово - 2
улица Каклемина - 2
по полю - 2
Ерестная - 2
Угловая улица - 2
хозяйственный корпус - 2
Отрадненское - 2
Бухгалтер - 2
2-я линия Полевого жилмассива улица - 2
Пионерская - 2
Малетино - 2
Большие Тайлы - 2
Мереть - 2
Комбинатская улица - 2
Тальская улица - 2
Радиоколледж - 2
проспект Ленина - 2
АЗС Центр - 2
МДМ банк - 2
Яблочная улица - 2
ул. Курчатова - 2
С�?БЦН�?�?С - 2
Киоск - 2
2-я Портовая улица - 2
Бигельды - 2
Троицкий - 2
Завод «Труд» - 2
Сфера, центр по молодежной работе - 2
Верх-Тула - 2
Обской переулок - 2
Спорткомплекс НГУ - 2
Шубинское - 2
Сергино - 2
Производственная ул. - 2
Холодное - 2
Васьково - 2
Кометная улица - 2
Троллейный жилмассив - 2
Пристанская улица - 2
�?нструменты - 2
Армейский микрорайон - 2
Общежитие 6 - 2
Общежитие 7 - 2
Общежитие 4 - 2
Общежитие 5 - 2
Общежитие 3 - 2
Пос. Геологов - 2
Штормовая улица - 2
Пешеходная дорожка от остановки Писемского - 2
Воробьево - 2
Бюро технической инвентаризации - 2
Тюменская ул. - 2
Электровозная улица - 2
Станиславский жилмассив - 2
Стадион «Сибирь» - 2
оз. Карасево - 2
Букреево Плёсо - 2
Национальная улица - 2
Холмистая - 2
Секс шоп. Магазин фантазий - 2
Скала - 2
Юргинский - 2
улица Заслонова - 2
улица Федосеева - 2
Омутское - 2
Тычкино - 2
Дивинская улица - 2
Головниха - 2
Сов. Сибирь - 2
Озёрное Приволье - 2
2-я Ольховская улица - 2
ж/м "Восточный" - 2
Зеленая Грива - 2
Окна - 2
улица Адриена Лежена - 2
улица Сударева - 2
ул. Войкова - 2
оз. Толстиково - 2
Полтавка - 2
ул. Писемского - 2
Вечный огонь - 2
Большая Кузнецкая улица - 2
Загора - 2
улица Черняховского - 2
Новомошковское - 2
Самолет - 2
Районный Дворец Культуры - 2
Детский сад №372 - 2
улица Кошевого - 2
Еловкино - 2
Лесосечная улица - 2
Прокатная ул. - 2
улица Матвеева - 2
Правая Обь - 2
BeerMania - 2
2797 км - 2
Сириус - 2
Татьяна - 2
Юбилейная - 2
Кудряшовский - 2
переулок Чкалова - 2
Земледелец - 2
улица Кузьмы Минина - 2
Тополёвая улица - 2
Завод Химконцентратов - 2
Кинотеатр "Рассвет" - 2
Электронная покупка билетов на поезд - 2
1-й Краснодонский переулок - 2
Осолодино - 2
Дмитриевка - 2
Фаворит - 2
Прямское-Барсуково - 2
Усманка - 2
�?рбизино - 2
3307 км - 2
Новоабышево - 2
Свежий хлеб - 2
ДК им. Клары Цеткин - 2
Куриловка - 2
Новый посёлок - 2
улица Данилова - 2
Блиндаж - 2
р. Каргат - 2
Усть-Чем - 2
Гигант - 2
2-й Амурский переулок - 2
2733 км - 2
Перебор - 2
Больница Водников - 2
Ленинский рынок - 2
Центральная Районная Больница - 2
СНТ «Движенец» - 2
3-я Ольховская улица - 2
Дружный - 2
Надежда-2 - 2
Кинотеатр Спутник - 2
Холидей-классик - 2
Васильковый переулок - 2
Нива - 2
Романовский - 2
Крутологово - 2
Партизанское - 2
Катунская улица - 2
 Мошково — Белоярка - 2
Смирновская улица - 2
46 км - 2
Зверобойка - 2
Боровской сельсовет - 2
Общежитие №2 - 2
Общежитие №1 - 2
Общежитие №3 - 2
Новый Баганёнок - 2
Killfish - 2
Нестеровка - 2
улица Нечётный Парк - 2
Солнечный жилмассив - 2
улица Академика Будкера - 2
Тихомирово - 2
Русский холод - 2
Новосибирский речной порт - 2
Новосибирский зоопарк - 2
Ульяновка - 2
Чистая слобода - 2
Еловка - 2
улица Мартыненко - 2
�?нституты - 2
НГУЭиУ - 2
ДК Юность - 2
улица П.Морозова - 2
Спасская улица - 2
2-й Каменогорский переулок - 2
Вокзал "Новосибирск-Западный" - 2
Орехов Лог - 2
Крепёж - 2
Отдых - 2
Жуланка - 2
Чернышевский - 2
Троллейбус 11 - 2
Троллейбус 10 - 2
Татчиха - 2
Ярково - 2
Ключики - 2
Сибирячка - 2
3375 км - 2
Бассейн "Молодость" - 2
улица Сеченова - 2
Сергеевка - 2
Мастерстрой - 2
Пресновка - 2
Белолебяжий - 2
Средний переулок - 2
2-я Гэсстроевская улица - 2
Парус - 2
АЗС Сибнефть - 2
улица Остальцова - 2
Пушной - 2
озеро карасево - 2
ДК "Родина" - 2
3068 км - 2
Старогутово - 2
Горский жилмассив - 2
Общество Маяк - 2
Пекин - 2
ДОЛ "Пионер" - 2
Милованово - 2
Нижний Чулым - 2
Престиж - 2
Зеленодольская - 2
Муромская улица - 2
Арабика - 2
Чаус - 2
Усть-Тандовка - 2
Елтышево - 2
Лодочная станция - 2
Варваровка - 2
8-я улица - 2
2850 км - 2
Котельная №11 - 2
Милиция - 2
улица Ворошилова - 2
Тополя - 2
переулок Работница - 2
Хасановская улица - 2
Кинда - 2
Сельская улица - 2
Южино - 2
Голден Парк - 2
�?нженерный лицей НГТУ - 2
Лесхоз - 2
Колосок - 2
Казаткуль - 2
Бариново - 2
Детский проезд - 2
Казанцево - 2
Троллейбус 23 - 2
Троллейбус 26 - 2
Посёлок - 2
Селезнёва - 2
Рыбный - 2
Лепокурово - 2
Детский автодром - 2
Большая Еловка - 2
Новолебедевка - 2
Asian Highway AH4 - 2
Бакинский двор - 2
Шахта - 2
Узорная улица - 2
Ярче! - 2
Завод Сибсельмаш - 2
Сибирский государственный университет телекоммуникаций и информатики - 2
Березовский сельсовет - 2
Вишневка - 2
Самарканд - 2
Восточная кухня - 2
Прямая - 2
Аул-Бергуль - 2
Романовка - 2
Садовая ул. - 2
Коротояк - 2
Серп и Молот - 2
улица Коминтерна - 2
участок Новостройка - 2
Дальняя Поляна - 2
Мануйлово - 2
Устьянцево - 2
Воронежская-Молодёжная - 2
Ключевой - 2
Кадровая улица - 2
Торговая площадь - 2
улица Краскома - 2
Озерянка - 2
Стеклянный - 2
Новосибирский Юридический �?нститут - 2
3406 км - 2
Гостиница «Обь» - 2
Теренгуль - 2
Мостовая - 2
Амбулатория - 2
Восточный переулок - 2
Северотатарское - 2
Кубановская улица - 2
Новоосиновый - 2
Киряково - 2
подъезд к Новотарышкино - 2
Умрева - 2
Ассоль - 2
ул. Народная - 2
Кольцово - 2
Гандичи - 2
Большеречка - 2
Шадринцево - 2
Сарыкамышка - 2
Петени - 2
Баринова - 2
Товары для военных - 2
Дом Учёных СО РАН - 2
улица Лелюха - 2
30 лет Октября - 2
НГТУ 2 корпус - 2
Бобровицкий - 2
Новососедово - 2
Куломзино - 2
Денисовка - 2
Тулинский мост - 2
Владимировская ул. - 2
Строительный переулок - 2
�?люшкино - 2
Медучилище - 2
Общественный торговый центр - 2
Новоложниково — Бакейка - 2
Елгайчик - 2
Пасечная улица - 2
Встреча - 2
Зуевский - 2
2-й Экскаваторный переулок - 2
ж/м Северо-чемской - 2
Сад Мичуринцев - 2
Левая Обь - 2
СНТ «Междуречье» - 2
Конево - 2
Серпуховская улица - 2
минимаркет - 2
Корпус 2 - 2
В.�?. Ленин - 2
улица Вересаева - 2
оз. Травное - 2
14 км - 2
Сад им. Дзержинского - 2
Кузнецовка - 2
Продовольственный магазин - 2
Банк Акцепт - 2
Автоцентр Peugeot - 2
Холди - 2
Лидер - 2
Серебренниково - 2
пансионат Былина - 2
Лесхозовская улица - 2
Старое шоссе - 2
Колыванская улица - 2
Верх-�?рмень - 2
Болотное - 2
Магазин "Магазин" - 2
Новоселье - 2
Южная ул. - 2
Шипуновский - 2
ул. Макаренко - 2
Остановочная Платформа Забулга - 2
улица Лесосплава - 2
Шаурма - 2
улица 4-й Пятилетки - 2
Сухая Каменка - 2
Спортзал - 2
Красногорский - 2
метро Покрышкина - 2
Аграрный Университет - 2
Колывань - 2
Улица Немировича-Данченко - 2
ГПТУ-55 - 2
Консерватория - 2
ГПТУ-50 - 2
Рямской - 2
Кусмень - 2
Кузиха - 2
Спутник - 2
Борково - 2
Динамо - 2
Шашлычная - 2
Коммунистическая ул. - 2
�?ртышская улица - 2
Мостопоезд - 2
Ермолаевка - 2
2-й Камышенский переулок - 2
Битки - 2
СНТ «Стройдеталь-1» - 2
Урожайный - 2
1-й Каменогорский переулок - 2
Южный - 2
Сарсаз - 2
Ковалево - 2
Карасарт - 2
магазин Юбилейный - 2
микрорайон Зелёный Бор - 2
Огнева Заимка - 2
улица Одарича - 2
Сиреневый бульвар - 2
улица Кузнецова - 2
Гавриловка - 2
Новосибирский областной совет депутатов - 2
Нижняя Матренка - 2
Радиаторная улица - 2
Заречная - 2
НГТУ 5 корпус - 2
Новый Вокзал - 2
Ваше здоровье - 2
улица Александра Невского - 2
2-й переулок Грекова - 2
Павловский сквер - 2
улица Писемского - 2
Колхидская - 2
улица Чистеева - 2
ж/м Троллейный - 2
Новоселовка - 2
Кавкуй - 2
Яминка - 2
Саламатово - 2
АЗС "ип.Евстигнеев" - 2
Верх-Тоя - 2
Гринвиль - 2
Стройка опоры ЛЭП - 2
Ленинское - 2
Кафе «Жемчужина» - 2
Каспийская улица - 2
Черепановская улица - 2
Школа №54 - 2
Президиум СО РАН, �?нститут Экономики - 2
Школа №61 - 2
Школа №63 - 2
Управление Федеральной Службы РФ по контрою за оборотом наркотиков по Новосибирской области - 2
Детский сад "Солнышко" - 2
Школа №73 - 2
Школа №76 - 2
Верхний Елбак - 2
Коммунстроевская - 2
ГСК "Сигнал" - 2
Октябрьский сельсовет - 2
Платная парковка - 2
Школа №10 - 2
Школа №12 - 2
Школа №11 - 2
Домашние беляши - 2
Школа №13 - 2
Пограничная улица - 2
Женская консультация - 2
Театр оперы и балета - 2
Макеевская улица - 2
Совхозная ул. - 2
Школа №36 - 2
Школа №26 - 2
Томский переулок - 2
Школа №43 - 2
1-й Балластный переулок - 2
Литера - 2
Прямское - 2
Антоновка - 2
Насосная - 2
Корпус подготовки лыж - 2
Велосипеды - 2
Горячие беляши - 2
Купинский межрайонный аграрный лицей - 2
грязь - 2
Переездная улица - 2
Обской совхоз - 2
3-й переулок Крупской - 2
Верх-Аллак - 2
1-й переулок Мира - 2
Орловская улица - 2
Раздольный - 2
Горнолыжный комплекс Новососедово - 2
Ордынское-Нижнекаменка - 2
улица Желнова - 2
Конёво - 2
Первомайский район - 2
СНТ «Кирпичник» - 2
Муниципальная новосибирская аптечная сеть - 2
пос. Кирова (ул. Васильковая) - 2
Свободный Труд - 2
Любаровка - 2
"Вымпел" - 2
Геологическая улица - 2
улица Красный Сокол - 2
Дом одежды - 2
Олимп - 2
Кирзаводская улица - 2
улица Союза Молодёжи - 2
3482 км - 2
улица Бардина - 2
К-150 - 2
Васильевский - 2
улица Пришвина - 2
Мастер - 2
Заозёрный - 2
Чусовская улица - 2
Магазин «Зорька» - 2
Гаражный кооператив - 2
ул. 2я Северная - 2
М-н Родники (Школа) - 2
Школа искусств - 2
Новощербаки - 2
Анисимовка - 2
НГТУ 4 корпус - 2
Майский сельсовет - 2
улица Телегина - 2
Новосибирская макаронная фабрика - 2
Черниговка - 2
Барабушка - 2
Стрелочная улица - 2
Отважный - 2
Старикова - 2
Райпо - 2
Баганская - 2
Сельсовет - 2
Осокино - 2
Светлое - 2
моховая - 2
Киоски - 2
Аэрофлот - 2
Соколово - 2
АЗС ТНК - 2
Варламово — Кунчурук - 2
Артамоново - 2
Просторная улица - 2
Кундран - 2
Муниципальная больница №4 - 2
Верх-Сузун - 2
Крылова - 2
114 км - 2
Подъезд к с. Уртам - 2
улица Бебеля - 2
улица Пожарского - 2
Блок-пост 149 км - 2
Алексотово - 2
улица Столетова - 2
Малая Ужаниха - 2
Сельскохозяйственная улица - 2
Экваторная улица - 2
школа - 2
Ж/д поликлиника - 2
Водопроводный переулок - 2
Тундриха - 2
Усть-Тоя - 2
8-й Камышенский переулок - 2
Старобибеево - 2
Столбово - 2
Чертокулич - 2
Сизево - 2
осина - 2
Сибирский Независимый институт - 2
ул. Римского-Корсакова - 2
Санаторий Бердский - 2
Черепановская - 2
Спартак - 2
Лесничество - 2
3 �?нтернационал - 2
Малая Еловка - 2
Баратаевка - 2
Малые Кайлы - 2
Золотая Грива - 2
Советская ул. - 2
Зеледеево — Макурино - 2
улица Зайцева - 2
18-й Бронный переулок - 2
Маслянино - 2
Топливный склад - 2
Журавлёво - 2
Токпан - 2
Кристальная - 2
2-я Юргинская улица - 2
Большеникольское - 2
улица Свиридова - 2
Улица Танкистов - 2
Детский дом - 2
Самотечная улица - 2
Мамоново - 2
Хлебозавод - 2
Королёвка - 2
СНТ «Проектировщик» - 2
ул. Королёва - 2
Новый переулок - 2
Мачта сотовой связи - 2
Каяк - 2
переулок Мира - 2
улица �?влева - 2
Верхние �?ки - 2
СОШ №4 - 2
СОШ №3 - 2
Авангард - 2
пивная Шульц - 2
Нарядная улица - 2
Восток - 2
Заковряжино - 2
Ланта - 2
Автотранс - 2
Секс шоп. Доктор любви - 2
Полякова - 2
Рябиновая - 2
Аккумуляторы - 2
Пищеблок - 2
Локомотивная улица - 2
СНТ «Надежда» - 2
Воробьёво - 2
Большая ул. - 2
Петербург - 2
Первотроицк - 2
Бережки - 2
подъезд к Чекиаулу - 2
улица Подбельского - 2
Ударная улица - 2
Зайчиха - 2
Коммунистический проспект - 2
Аптала - 2
Яснополянская улица - 2
Поселок Кирова - 2
Урюпино - 2
АЗС Касмала - 2
Высокогорная улица - 2
улица Сергея Лазо - 2
хлеб - 2
Балтийская улица - 2
Майское — Чернаки - 2
Безбожник - 2
Преображенский - 2
ул. Белинского - 2
Приобские электросети - 2
ул. 25 лет Октября - 2
3149 км - 2
улица Гризодубовой - 2
улица Кутателадзе - 2
Бергуль - 2
Новосибирский областной госпиталь ветеранов войн №2 - 2
Завод им. Кузьмина - 2
3-й переулок Бурденко - 2
Чинявино - 2
улица 9-го Ноября - 2
Боевая улица - 2
оз. Собачье - 2
Ленинская улица - 2
Первый разъезд - 2
Чащино - 2
Калачинская - 2
Чебаклы - 2
Университет путей сообщения - 2
Чистово - 2
Дальнобойщик - 2
улица Капитана Сигова - 2
1-я улица Шевцовой - 2
2801 км - 2
Карагужево - 2
Гаражная улица - 2
1-й Гэсстроевский переулок - 2
Красногорский переулок - 2
Пожарный переулок - 2
улица Целинстрой - 2
Пульс - 2
ул. �?пподромская - 2
Голая - 2
Курьинский - 2
Морозовка - 2
1-я Портовая улица - 2
улица Волховская - 2
Усть-Каменка - 2
Павлодарская улица - 2
1-я Чулымская улица - 2
улица 60 лет Октября - 2
Мамон - 2
Травяное - 2
Микрорайон Северный - 2
�?пподромская улица - 2
Ольгино - 2
�?вановка — Кабанье - 2
Гастроном - 2
5-й Камышенский переулок - 2
Каип - 2
Школа интернат №133 - 2
Камышенская улица - 2
Лужниковская улица - 2
Хитровская улица - 2
заправка - 2
Бедрино - 2
Пиво на розлив - 2
Венгерово - 2
Автолайн - 2
Планета Электрика - 2
Улица Арбузова - 2
Речкуновская улица - 2
Храм св. мученика Евгения - 2
2-я улица Марата - 2
Детская городская клиническая больница №1 - 2
3144 км - 2
СКА - 2
Отделение связи №630126 - 2
Котельная улица - 2
Кирзинское - 2
Калейдоскоп - 2
Прогулочная улица - 2
улица База Геологии - 2
Виноградная улица - 2
Ора - 2
Мегафон - 2
3380 км - 2
Туннельный переулок - 2
Закарпатская улица - 2
Луговая - 2
Молдавская улица - 2
Станционно-Ояшинский - 2
Тополиная улица - 2
Алабуга - 2
Димитровский мост - 2
Майское - 2
оз. Круглое - 2
Берёзово - 2
Магазин Сюрприз - 2
Торговля вдоль трассы (орехи, ягоды, грибы, сало, картошка, яйца) - 2
Новотроицк — Петропавловка - 2
Клён - 2
Дом радио - 2
улица Морозова - 2
Вишнёвая улица - 2
Короткоозерный - 2
Альбатрос - 2
Ермаковский - 2
Антенна сотовой связи - 2
Октябрьское - 2
Каргаполово - 2
Нововознесенка - 2
Лесное шоссе - 2
Елгай — Хмелёвка - 2
Фармакопейка - 2
Ритуальные услуги - 2
Шелковичиха - 2
Чайка - 2
улица Бродского - 2
Площадь Труда - 2
Сухановская улица - 2
переулок Лазо - 2
Малая Старинка - 2
Старый Порос - 2
Первомихайловка - 2
Сестрорецкая - 2
кунчурук - 2
Газпром - 2
переулок Лермонтова - 2
улица Механизаторов - 2
Мироновка - 2
Карган - 2
 - 1
Кривое - 1
бол. Позднопалово - 1
Гимназия №4 - 1
Сад огород - 1
Шилкинская улица - 1
протока Топтушка - 1
Гимназия №6 - 1
Атузёнок - 1
Western - 1
улица Евгения Середкина - 1
Митрофановка - 1
Горновская ЦРБ - 1
Солдатка - 1
Автоколонская улица - 1
Новая Кулында - 1
УПМ - 1
ОАО НМЗ "�?скра" - 1
$ - 1
Русская охота - 1
Урочище Нифоновка - 1
Водонапорная станция - 1
Евсинское кладбище - 1
Московский - 1
Яхт-клуб "Чкаловец" - 1
Ralf - 1
Гимназия №8 - 1
Гимназия №9 - 1
Средняя Школа №105 - 1
Новопокровский переулок - 1
8 - 1
9 - 1
Мошнинская улица - 1
НГАУ - 1
оз. Сидоровское - 1
Короткая ул. - 1
Георгиевская улица - 1
P - 1
Ермиловка - 1
Панкрушихинский район - 1
Зубари - 1
Северо-Чемской жилмассив - 1
Крещенский - 1
Вишня - 1
Новая деревня - 1
подъезд к Бакейке - 1
2-я улица Куйбышева - 1
Тихомировский - 1
Ремзавод - 1
Лесной домик - 1
Озеро курия третья - 1
Убинское — Московка - 1
Чузик - 1
D4 автосервис - 1
озеро Горшково - 1
Язово - 1
шашлычная - 1
Петрушиха - 1
Природная улица - 1
Правление СНТ «Железнодорожник» - 1
школа раннего развития - 1
Остановочная Платформа 3017 км - 1
урочище Сарбоян - 1
Болотнинский хлебопродукт - 1
Электродепо «Ельцовское» - 1
Детский сад No84 - 1
Клуб скалолазов "Каскад" - 1
Гутовская улица - 1
Зятьковка - 1
Грунтовая улица - 1
Типография НГТУ - 1
Калиновая - 1
МСЧ 129 - 1
Сибторг - 1
БТ�? - 1
Альфа киоми - 1
6-й Рабочий переулок - 1
Краснозёрский санаторий - 1
Свой магазин - 1
Театр Афанасьева - 1
ДК им. Чкалова - 1
урочище Роговики - 1
переулок Молодой Гвардии - 1
Спортивно-патриотический клуб Корсар - 1
Тогановское - 1
�?справительная колония № 18 - 1
Восточный - 1
Аптечный Двор - 1
1-й Ландшафтный переулок - 1
Новосибирск-Главный, пригородный вокзал - 1
ООО Виктория - 1
общежитие №1 НГАСУ - 1
Пашинский, центр внешкольной работы - 1
Театр музыкальной комедии - 1
НСМШ (колледж) - 1
Аптека 03 - 1
озеро Половинное - 1
Савиново - 1
Церковь Св.�?оанна Предтечи - 1
переулок Седова - 1
подъезд к Крутихе - 1
Детский сад №423 «Золотой ключик» - 1
Хабарская средняя школа №1 - 1
Golden Plaza - 1
Рыба Свежемороженая - 1
ддт "Мастер" - 1
АЗС №22 - 1
Beer Mag - 1
Новая Курья - 1
Парковка на Димитрова - 1
15-я улица - 1
Зареченская улица - 1
Ford - 1
улица Мельникова - 1
TP0738 - 1
Юргинское сельское поселение - 1
Парикмахерскя - 1
Верх-Тарка - 1
�?рба - 1
Единая улица - 1
Зона отдыха "Атлант" - 1
Детский сад №177 "Ладушки" - 1
Станция Юных натуралистов - 1
Межрайонная инспекция Федеральной налоговой службы России №16 по НСО - 1
�?П Габелкова - 1
РЭС - 1
Каток НГПУ - 1
озеро окунёво - 1
1-я улица Новосёлов - 1
Садовое общество "�?мпульс" - 1
Ермолинские полуфабрикаты, сеть магазинов - 1
�?нститут теоретической и прикладной механики им. Христиановича - 1
База отдыхи �?нститута гидродинамики СО РАН - 1
Каменогорская - 1
ветеринарная аптека "Друг" - 1
Костромское - 1
1-й квартал - 1
остров Чигалинский - 1
Туран - 1
Дом советов - 1
Красный Октябрь - 1
Егоровка - 1
35-79 (ПС «Кыштовка» - ПС «Орловка») - 1
АК Барс Банк - 1
Кудряшёвская улица - 1
Бар "Метро" - 1
Завод "Электроагрегат" - 1
Городская поликлиника №20 - 1
Гражданцево - 1
СНТ Ветеран-3 - 1
улица Бабаева - 1
Тальменский поссовет - 1
подъезд к Турнаеву - 1
Знаменская улица - 1
Склад 137 - 1
Остановочная Платформа Лагунака - 1
Медвежье - 1
Эйдос - 1
Малый Коен - 1
крест - 1
�?нститут �?скусств - 1
Прокат лыж, сноуборда - 1
1091 - 1
квартал - 1
ДатаКрат - 1
Аптека Радуга, сеть аптек - 1
Отделение связи №633100 - 1
�?нститут патологии кровообращения им. Мешалкина - 1
Вивере - 1
оз. Блюдце - 1
Тельбесская улица - 1
АЗС Татнефть - 1
АЗС Скиф - 1
BMW - 1
оз.Полдневое - 1
2-я Сибирская улица - 1
Дом престарелых и инвалидов - 1
Маршанское - 1
Детский сад № 505 - 1
Беладжо - 1
Свежие овощи и фрукты - 1
1-я Кондукторская улица - 1
улица Брюсова - 1
оз. Духовое - 1
улица Усова - 1
Шерстобитово - 1
2-я Заводская улица - 1
Подъезд №5 - 1
Керченская улица - 1
ул. Тюленина - 1
тупик Войкова - 1
улица Копьева - 1
Центральая база измерительной техники - 1
Ашхабадская улица - 1
Астраханская улица - 1
Чичканская протока - 1
Фирсовский - 1
Будайка - 1
Завод соков «Лебедянский» - 1
Каратканская улица - 1
Сосновый переулок - 1
Webstream - 1
Медсанчасть - 1
МУП ЖКХ МОКС - 1
Социальная аптека - 1
оз. Лешего - 1
теплицы - 1
Айро Ветклиника - 1
Озера кызылтуз - 1
Дом быта - 1
подъезд к Прогрессу - 1
Оршанская улица - 1
GNGF-10 - 1
Кафе-бар - 1
Лётный микрорайон - 1
ВЛ 532 (ПС «Барабинская» - ПС «Заря») - 1
Магазин "Лион" - 1
Покровское - 1
Паинт - 1
Воронежский переулок - 1
улица Сердюкова - 1
№20 - 1
ТехноСити - 1
улица Габова - 1
Цветущий сад - 1
Детский сад №44 "Мозаика" - 1
ООО Гулливер - 1
Дом Творчества - 1
Боровой - 1
улица Черенкова - 1
проспект Карла Маркса - 1
дом для сотрудников санатория - 1
Поликлиника ННЦ СО РАН - 1
Экономический лицей №95 - 1
плёс Длинный - 1
Пещера Новососедовская - 1
Семейное дерево - 1
Мошковские районные электрические сети - 1
Хозяйственные товары - 1
Коралл - 1
ул. Революции - 1
ТЦ «Плехановский» - 1
РосЕвроБанк - 1
МБОУ СОШ №6 - 1
частная школа Экология и Диалектика - 1
АЗС Сиб-ГСМ - 1
В. А. Коптюг - 1
4-й Ставропольский переулок - 1
Владимировское - 1
TP4236 - 1
C/О Энергия-5 - 1
гиппермаркет Низкоцен - 1
ЖК River House - 1
19-я улица - 1
Федосьевка - 1
Юпитер - 1
Детское отделение поликлиники №7 - 1
ТЦ "Москва" - 1
Князь 2 - 1
Крутоборка - 1
5-й Порт-Артурский переулок - 1
Газпромбанк - 1
Баратаевская школа - 1
Красная Шапочка - 1
Н�?�? Автоматических приборов - 1
Коммунальный переулок - 1
Елизарово - 1
Автомойка "Ваюн" - 1
Детский сад №199 "Сказка" - 1
Выдры - 1
Беловский водопад - 1
СНТ Галантерейщик - 1
Новосибирский завод полупроводниковых приборов - 1
10-й Трикотажный переулок - 1
Детская поликлиника 3 - 1
Горсвет - 1
Центр занятости населения - 1
Детский сад №455 "Снеговичок" - 1
Петуховка - 1
Партизанский сельсовет - 1
Рубчиха - 1
Спортивный комплекс "Динамо" - 1
1-я Шоссейная улица - 1
Профсоюзная улица - 1
130 км а/д «М-53» — Тогучин — Карпысак - 1
Водопроводная насосная станция - 1
Новояблоновка - 1
улица Терентьева - 1
2-я Рощинская улица - 1
ПГК "Машиностроитель" - 1
Библиотека им. А.А.Луначарского - 1
Аэротранс - 1
4-й Камышенский переулок - 1
Алабучинка - 1
Центр красок Акзо Нобель - 1
Крутые горки для эндуро - 1
переулок Подбельского - 1
Детский сад №501 "Медвежонок" - 1
Гламур - 1
Корнилово - 1
Подстанция «Здвинская» - 1
Тамара - 1
Papa John`s - 1
1-й переулок Крупской - 1
Памятник Запорожцу - 1
подбор автокрасок - 1
3 км а/д «Н-1007» — Михайловка — гр. Алтайского кр. - 1
о.Медвежий - 1
Абразивная улица - 1
Царицыно - 1
4-й �?нюшенский переулок - 1
Зенкино - 1
Ключик - 1
Проскоковское сельское поселение - 1
Медицинский центр "Novoclinik" - 1
Клыгино - 1
Арбат-Обувь - 1
оз.Сарбалык - 1
Урочище Песочное - 1
Palermo, салон-парикмахерская - 1
озеро черное - 1
1-я улица Аксёнова - 1
Путанка - 1
Сквер 40-летия победы - 1
оползень - 1
Виндзор - 1
дамба - 1
Блохино - 1
ООО Магистр - 1
оз. Быковское - 1
Ключи 1 - 1
Гормолзавод - 1
НГТУ 3 корпус - 1
Акварель - 1
Деловые Линии - склад - 1
Ленинградский - 1
джем - 1
Дом казначейства - 1
Школа №47 имени М.Ф. Михина - 1
УВД г. Новосибирска - 1
3й шлакбаум - 1
Памятник природы "Долина реки �?здревая" - 1
Лебяжка - 1
Linevo.NET - 1
Pinpay express - 1
3-й Орловский переулок - 1
Тулинский - 1
Торговый центр Речной - 1
Санаторный - 1
Мотодром РОСТО - 1
иЮль - 1
Постоялый двор - 1
Филино - 1
Таксофон СибирьТелеКом - 1
автозапчасти - 1
Приозёрная улица - 1
Компьютер плаза - 1
оз. Лебяжье - 1
Чаны — Песчаное Озеро - 1
203 км а/д «К-17р» — Каргат - 1
Сквер авиаторов - 1
Арбитражный суд - 1
К1 - 1
Ленинский район - 1
Завод Лиотех - 1
Мелькомбинат - 1
403 км - 1
Генераторная улица - 1
Утренняя улица - 1
озеро Узункуль - 1
Елбаш - 1
Новосибирский Государственный Аграрный Университет - 1
База отдыха - 1
оз. Большое Горькое - 1
Бобровый пруд - 1
ул. Пирогова - 1
переулок Гастелло - 1
Свято - Никольская церковь - 1
Благовещенка - 1
Перспективная улица - 1
Новый Майзас - 1
Детский сад №9 "Тигрёнок" - 1
Хмель - 1
Ладушки - 1
Подъезд к Новому Ревелю - 1
Полдневая - 1
дп. Кудряшовский - 1
Ленинский - 1
11-я улица - 1
улица Ковтуна - 1
Великолукский переулок - 1
улица Бельского - 1
747 км - 1
Камень - 1
Чайна-таун - 1
ООО Арам - 1
24 часа - 1
Новомайское - 1
Газпромнефть АЗС-76 - 1
Городская поликлиника - 1
Малоколыбельская улица - 1
2-я Сухарная улица - 1
ДДТ им. Ефремова - 1
Золоотвал - 1
Кочковский район - 1
База НГТС - 1
Национальный резервный банк - 1
Большая Поляна - 1
НГАВТ - 1
№ 8 - 1
391 км - 1
Краснознаменка - 1
Комсомольский ж.д. мост - 1
Сергеевские бани - 1
Ковыльный - 1
Ваничкино - 1
3-я улица Черняховского - 1
Янцзы - 1
Технический лицей № 176 - 1
Мелодия Здоровья - 1
Газоил - 1
Сертификационно-диагностический центр - 1
лесоторговая база - 1
Дизель+ - 1
Тальменский район - 1
Калина центр - 1
оз.Черное - 1
урочище Арановка - 1
подъезд к Колывани - 1
�?льинский сельсовет - 1
Надеждинка - 1
Чируха - 1
ж/м "Затулинский" (гортранспорт) - 1
52 км - 1
Мясной двор - 1
Carl's Jr - 1
Богдана Хмельницкого 22 - 1
Воспитательная колония - 1
Малый переулок - 1
Водоплавающие птицы - 1
Большая Черемшанка - 1
Степановка 1-я - 1
Южно-Чемской жилмассив - 1
Скрап-сервис - 1
улица Тимонова - 1
